x;y;speed;lookahead
-11.247375662796161;-2.71;4.0;1.5
-11.24240888650245;-2.71;4.0;1.5
-11.237442110208738;-2.71;4.0;1.5
-11.232475333915028;-2.71;4.0;1.5
-11.227508557621316;-2.71;4.0;1.5
-11.222541781327605;-2.71;4.0;1.5
-11.217575005033895;-2.71;4.0;1.5
-11.212608228740184;-2.71;4.0;1.5
-11.207641452446472;-2.71;4.0;1.5
-11.202674676152762;-2.71;4.0;1.5
-11.19770789985905;-2.71;4.0;1.5
-11.19274112356534;-2.71;4.0;1.5
-11.18777434727163;-2.71;4.0;1.5
-11.182807570977918;-2.71;4.0;1.5
-11.177840794684206;-2.71;4.0;1.5
-11.172874018390496;-2.71;4.0;1.5
-11.167907242096785;-2.71;4.0;1.5
-11.162940465803073;-2.71;4.0;1.5
-11.157973689509364;-2.71;4.0;1.5
-11.153006913215652;-2.71;4.0;1.5
-11.14804013692194;-2.71;4.0;1.5
-11.143073360628229;-2.71;4.0;1.5
-11.138106584334519;-2.71;4.0;1.5
-11.133139808040807;-2.71;4.0;1.5
-11.128173031747096;-2.71;4.0;1.5
-11.123206255453386;-2.71;4.0;1.5
-11.118239479159675;-2.71;4.0;1.5
-11.113272702865963;-2.71;4.0;1.5
-11.108305926572253;-2.71;4.0;1.5
-11.103339150278542;-2.71;4.0;1.5
-11.09837237398483;-2.71;4.0;1.5
-11.09340559769112;-2.71;4.0;1.5
-11.088438821397409;-2.71;4.0;1.5
-11.083472045103697;-2.71;4.0;1.5
-11.078505268809987;-2.71;4.0;1.5
-11.073538492516276;-2.71;4.0;1.5
-11.068571716222564;-2.71;4.0;1.5
-11.063604939928855;-2.71;4.0;1.5
-11.058638163635143;-2.71;4.0;1.5
-11.053671387341431;-2.71;4.0;1.5
-11.048704611047722;-2.71;4.0;1.5
-11.04373783475401;-2.71;4.0;1.5
-11.038771058460298;-2.71;4.0;1.5
-11.033804282166589;-2.71;4.0;1.5
-11.028837505872877;-2.71;4.0;1.5
-11.023870729579166;-2.71;4.0;1.5
-11.018903953285456;-2.71;4.0;1.5
-11.013937176991744;-2.71;4.0;1.5
-11.008970400698033;-2.71;4.0;1.5
-11.004003624404323;-2.71;4.0;1.5
-10.999036848110611;-2.71;4.0;1.5
-10.9940700718169;-2.71;4.0;1.5
-10.98910329552319;-2.71;4.0;1.5
-10.984136519229478;-2.71;4.0;1.5
